,id,category
0,209,2.0
1,210,2.0
2,211,2.0
3,212,2.0
4,213,2.0
5,214,2.0
6,215,2.0
7,216,2.0
8,217,2.0
9,218,2.0
10,219,2.0
11,220,2.0
12,221,2.0
13,222,2.0
14,223,2.0
15,224,2.0
16,225,2.0
17,226,2.0
18,227,2.0
19,228,2.0
20,229,2.0
21,230,2.0
22,231,2.0
23,232,2.0
24,233,2.0
25,234,2.0
26,236,2.0
27,237,2.0
28,238,2.0
29,239,2.0
30,240,2.0
31,241,2.0
32,242,2.0
33,243,2.0
34,244,2.0
35,245,2.0
36,246,2.0
37,247,2.0
38,248,2.0
39,249,2.0
40,250,2.0
41,251,2.0
42,252,2.0
43,253,2.0
44,254,2.0
45,255,2.0
46,256,2.0
47,257,2.0
48,258,2.0
49,259,2.0
50,260,2.0
51,261,2.0
52,262,2.0
53,263,2.0
54,264,2.0
55,265,2.0
56,266,2.0
57,267,2.0
58,268,2.0
59,269,2.0
60,270,2.0
61,271,2.0
62,272,2.0
63,273,2.0
64,274,2.0
65,275,2.0
66,276,2.0
67,277,2.0
68,278,2.0
69,279,2.0
70,280,2.0
71,281,2.0
72,282,2.0
73,283,2.0
74,284,2.0
75,285,2.0
76,286,2.0
77,287,2.0
78,288,2.0
79,289,2.0
80,290,2.0
81,291,2.0
82,292,2.0
83,293,2.0
84,294,2.0
85,295,2.0
86,296,2.0
87,297,2.0
88,298,2.0
89,299,2.0
90,300,2.0
91,301,2.0
92,302,2.0
93,303,2.0
94,304,2.0
95,305,2.0
96,306,2.0
97,307,2.0
98,308,2.0
99,309,2.0
100,310,2.0
101,311,2.0
102,312,2.0
103,313,2.0
104,314,2.0
105,315,2.0
106,316,2.0
107,317,2.0
108,318,2.0
109,319,2.0
110,320,2.0
111,321,2.0
112,322,2.0
113,323,2.0
114,324,2.0
115,325,2.0
116,326,2.0
117,327,2.0
118,328,2.0
119,329,2.0
120,330,2.0
121,331,2.0
122,332,2.0
123,333,2.0
124,334,2.0
125,335,2.0
126,336,2.0
127,337,2.0
128,338,2.0
129,339,2.0
130,340,2.0
131,341,2.0
132,342,2.0
133,343,2.0
134,344,2.0
135,345,2.0
136,346,2.0
137,347,2.0
138,348,2.0
139,349,2.0
140,350,2.0
141,351,2.0
142,352,2.0
143,353,2.0
144,354,2.0
145,355,2.0
146,356,2.0
147,357,2.0
148,358,2.0
149,359,2.0
150,360,2.0
151,361,2.0
152,362,2.0
153,363,2.0
154,364,2.0
155,365,2.0
156,366,2.0
157,367,2.0
158,368,2.0
159,369,2.0
160,370,2.0
161,371,2.0
162,372,2.0
163,373,2.0
164,374,2.0
165,375,2.0
166,376,2.0
167,377,2.0
168,378,2.0
169,379,2.0
170,380,2.0
171,381,2.0
172,382,2.0
173,383,2.0
174,384,2.0
175,385,2.0
176,386,2.0
177,387,2.0
178,388,2.0
179,389,2.0
180,390,2.0
181,391,2.0
182,392,2.0
183,393,2.0
184,394,2.0
185,395,2.0
186,396,2.0
187,397,2.0
188,398,2.0
189,399,2.0
190,400,2.0
191,401,2.0
192,402,2.0
193,403,2.0
194,404,2.0
195,405,2.0
196,406,2.0
197,407,2.0
198,408,2.0
199,409,2.0
200,410,2.0
201,411,2.0
202,412,2.0
203,413,2.0
204,414,2.0
205,415,2.0
206,416,2.0
207,417,2.0
208,418,2.0
209,419,2.0
210,420,2.0
211,421,2.0
212,422,2.0
213,423,2.0
214,424,2.0
215,425,2.0
216,426,2.0
217,427,2.0
218,428,2.0
219,429,2.0
220,430,2.0
221,431,2.0
222,432,2.0
223,433,2.0
224,434,2.0
225,435,2.0
226,436,2.0
227,437,2.0
228,438,2.0
229,439,2.0
230,440,2.0
231,441,2.0
232,442,2.0
233,443,2.0
234,444,2.0
235,445,2.0
236,446,2.0
237,447,2.0
